l_english:
 gdd_czc_council_reform:0 "潮州乡贤议会"
 gdd_czc_council_reform_desc:0 "潮州的士绅共议与执政者家门分享政权。执政者皆任职终身；士绅占优时推举新的执政者，统治者占优时由同族延续执政。各省可获授原生议会议席，参与议案辩论。权力的归属改变共和传统的消长。"
 gdd_czc_gentry:0 "士绅"
 gdd_czc_ruler:0 "统治者"
 gdd_czc_gentry_MECHANIC_TOOLTIP:0 "士绅共议"
 gdd_czc_ruler_MECHANIC_TOOLTIP:0 "统治者家门"
 gdd_czc_support_gentry_effect_tt:0 "消耗§Y50§!行政点，权力向§Y士绅§!移动§Y10§!点。两项议政行动共享§Y一年§!冷却。"
 gdd_czc_support_ruler_effect_tt:0 "消耗§Y50§!行政点，权力向§Y统治者§!移动§Y10§!点。两项议政行动共享§Y一年§!冷却。"
 gdd_czc_council_rules_tt:0 "双方执政者均任职终身。\n士绅占优：共和传统按国家现有修正恢复。\n统治者占优：延续执政家族，共和传统每年额外减少§R2§!点；计入共和国基础恢复后，通常净减少§R1§!点。\n共和传统低于§R20§!时，现任执政者直接称王。"
 gdd_czc_council_cooldown_tt:0 "需要至少§Y50§!行政点，且议政行动不在冷却中。两项行动共享§Y365天§!冷却，首次可直接进行。"
 gdd_czc_government.10.t:0 "潮州议政"
 gdd_czc_government.10.d:0 "士绅主张由众议约束政令，执政家门则希望集中权柄。议会今日的裁定将改变双方势力，但不会立即替换在任执政者。"
 gdd_czc_government.10.a:0 "尊重士绅共议"
 gdd_czc_government.10.b:0 "支持统治者裁决"
 gdd_czc_government.10.c:0 "暂且维持现状"
 gdd_czc_government.20.t:0 "潮州称王"
 gdd_czc_government.20.d:0 "维系乡贤共议的共和传统已经衰竭，议会再无力量约束最高权柄。在任执政者正式称王，潮州由此改行君主统治。"
 gdd_czc_government.20.a:0 "王权已立。"
