l_english:
 zhx_ritual_authority:0 "礼乐值"
 zhx_reaffirm_the_covenant_authority_tt:0 "礼乐值至少为§Y50§!"

 lost_control_of_beijing:0 "北京脱离周天下控制"
 desc_lost_control_of_beijing:0 "北京既非天子亲自控制，也不由奉周诸侯控制，有损天命威仪。"
 lost_control_of_nanjing:0 "南京脱离周天下控制"
 desc_lost_control_of_nanjing:0 "南京既非天子亲自控制，也不由奉周诸侯控制，有损天命威仪。"
 lost_control_of_canton:0 "广州脱离周天下控制"
 desc_lost_control_of_canton:0 "广州既非天子亲自控制，也不由奉周诸侯控制，有损天命威仪。"
 gdd_tianxia_control_of_beijing:0 "周天下控制北京"
 desc_gdd_tianxia_control_of_beijing:0 "北京由周天子或奉周诸侯控制，天命秩序得到巩固。"
 gdd_tianxia_control_of_nanjing:0 "周天下控制南京"
 desc_gdd_tianxia_control_of_nanjing:0 "南京由周天子或奉周诸侯控制，天命秩序得到巩固。"
 gdd_tianxia_control_of_canton:0 "周天下控制广州"
 desc_gdd_tianxia_control_of_canton:0 "广州由周天子或奉周诸侯控制，天命秩序得到巩固。"
 zhx_system.1.t:0 "周天下初始化"
 zhx_system.1.d:0 "周天下的身份名册已经初始化。"
 zhx_system.2.t:0 "列国奉周"
 zhx_system.2.d:0 "列国虽各有疆土、兵甲与政令，仍共同承认一套以朝会、礼制和盟誓为中心的天下秩序。\n\n§Y天子§!：§Y[CZH.GetName]§!\n\n§Y诸侯§!：开局现存的非少数民族诸夏国家全部列入名册，§Y[DAI.GetName]§!与§Y[LIO.GetName]§!亦在其中。当前登记成员共§Y[CZH.zhx_member_count_cache.GetValue]§!国。§Y[GZH.GetName]§!及西南、西北、两广的少数民族政权不属于周天下。\n\n§Y礼乐值§!初始为§Y[CZH.zhx_ritual_authority.GetValue]§!，范围为§Y-100至100§!。天子政局、天下战争、朝会、诸侯奉礼与天下事变都会改变礼乐值；正值越高，民生收益越盛，但对外扩张引发的侵略扩张也越高。负值越低，则越鼓励军争，并损害民生。\n\n主要诸侯包括§Y[QIN.GetName]§!、§Y[YAN.GetName]§!、§Y[QIC.GetName]§!、§Y[CHC.GetName]§!、§Y[SHU.GetName]§!、§Y[BAA.GetName]§!、§Y[WUU.GetName]§!、§Y[YUE.GetName]§!、§Y[MIN.GetName]§!、§Y[GDD.GetName]§!、§Y[DAI.GetName]§!与§Y[LIO.GetName]§!。"
 zhx_system.2.a:0 "谨奉盟书"
 zhx_system.3.t:0 "周天下总览"
 zhx_system.3.d.ordered:0 "§Y天子§!：§Y[CZH.GetName]§!\n§Y诸侯国数§!：§Y[CZH.zhx_member_count_cache.GetValue]§!\n§Y礼乐值§!：§G[CZH.zhx_ritual_authority.GetValue]§!（-100至100）\n§Y秩序阶段§!：§G纲常有序§!\n\n王命畅达，冠裳会同。周天下国家获得显著税收与生产收益，但任何侵略都会招致更多侵略扩张。\n\n你的§Y盟功§!为§Y[Root.zhx_merit.GetValue]§!。"
 zhx_system.3.d.stable:0 "§Y天子§!：§Y[CZH.GetName]§!\n§Y诸侯国数§!：§Y[CZH.zhx_member_count_cache.GetValue]§!\n§Y礼乐值§!：§G[CZH.zhx_ritual_authority.GetValue]§!（-100至100）\n§Y秩序阶段§!：§G礼制稳固§!\n\n朝会有期，盟誓尚明。周天下国家获得税收与生产收益，但对外侵略会招致较多侵略扩张。\n\n你的§Y盟功§!为§Y[Root.zhx_merit.GetValue]§!。"
 zhx_system.3.d.balanced:0 "§Y天子§!：§Y[CZH.GetName]§!\n§Y诸侯国数§!：§Y[CZH.zhx_member_count_cache.GetValue]§!\n§Y礼乐值§!：§Y[CZH.zhx_ritual_authority.GetValue]§!（-100至100）\n§Y秩序阶段§!：§Y礼乐相持§!\n\n礼制与军争彼此牵制。周天下国家获得少量民生与军事实力，但扩张仍会略微增加天下反感。\n\n你的§Y盟功§!为§Y[Root.zhx_merit.GetValue]§!。"
 zhx_system.3.d.fractured:0 "§Y天子§!：§Y[CZH.GetName]§!\n§Y诸侯国数§!：§Y[CZH.zhx_member_count_cache.GetValue]§!\n§Y礼乐值§!：§O[CZH.zhx_ritual_authority.GetValue]§!（-100至100）\n§Y秩序阶段§!：§O礼教废弛§!\n\n盟誓渐轻，诸侯渐强。周天下国家损失税收与生产效率，却获得额外训练度。\n\n你的§Y盟功§!为§Y[Root.zhx_merit.GetValue]§!。"
 zhx_system.3.d.collapsed:0 "§Y天子§!：§Y[CZH.GetName]§!\n§Y诸侯国数§!：§Y[CZH.zhx_member_count_cache.GetValue]§!\n§Y礼乐值§!：§R[CZH.zhx_ritual_authority.GetValue]§!（-100至100）\n§Y秩序阶段§!：§R礼崩乐坏§!\n\n王命不出王畿，列国专事征伐。周天下国家获得大量训练度，但税收、生产与地方安定遭受严重损害，省份荒废度也会逐月增加。\n\n你的§Y盟功§!为§Y[Root.zhx_merit.GetValue]§!。"
 zhx_system.3.a:0 "览天下形势"
 zhx_system.4.t:0 "开封大朝会"
 zhx_system.4.d:0 "天子遣使四方，诸侯再会于王畿。玉帛既陈，旧盟复读，久未行于列国的礼典重新获得承认。\n\n§Y礼乐值提高10点。§!"
 zhx_system.4.a:0 "礼成乐备"
 zhx_system.5.t:0 "重申成周盟书"
 zhx_system.5.d:0 "在天子与列国使节的共同见证下，成周盟书再次颁行。它并未将诸侯变成周室的附庸，却把互认、朝会与共同秩序写成了各国公开承担的义务。\n\n所有周天下国家永久获得§Y重申成周盟书§!修正；新加入的成员也会自动获得该修正。"
 zhx_system.5.a:0 "列国奉行"
 zhx_system.10.t:0 "周天下年度演算"
 zhx_system.10.d:0 "周天下年度状态已经刷新。"
 zhx_system.20.t:0 "王命不行"
 zhx_system.20.d:0 "礼统衰微，诸侯之间的盟誓与朝会渐成空文。天子将召集列国公议；诸侯有约一年的时间表明赞同、反对或弃权，期满以后才会依照最终票数决定王命能否重新获得天下支持。"
 zhx_system.20.a:0 "颁诏天下，听列国公议"
 zhx_system.20.a.tt:0 "开始持续§Y365天§!的列国公议；期限结束前不会结算事变结果。"
 zhx_system.20.b:0 "召集列国公议"
 zhx_system.20.c:0 "王室已无力过问"
 zhx_system.21.t:0 "列国公议"
