l_english:
 zhx_ritual_warscore_005:0 "礼制护土：+5%"
 desc_zhx_ritual_warscore_005:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+5%。"
 zhx_ritual_warscore_010:0 "礼制护土：+10%"
 desc_zhx_ritual_warscore_010:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+10%。"
 zhx_ritual_warscore_015:0 "礼制护土：+15%"
 desc_zhx_ritual_warscore_015:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+15%。"
 zhx_ritual_warscore_020:0 "礼制护土：+20%"
 desc_zhx_ritual_warscore_020:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+20%。"
 zhx_ritual_warscore_025:0 "礼制护土：+25%"
 desc_zhx_ritual_warscore_025:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+25%。"
 zhx_ritual_warscore_030:0 "礼制护土：+30%"
 desc_zhx_ritual_warscore_030:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+30%。"
 zhx_ritual_warscore_035:0 "礼制护土：+35%"
 desc_zhx_ritual_warscore_035:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+35%。"
 zhx_ritual_warscore_040:0 "礼制护土：+40%"
 desc_zhx_ritual_warscore_040:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+40%。"
 zhx_ritual_warscore_045:0 "礼制护土：+45%"
 desc_zhx_ritual_warscore_045:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+45%。"
 zhx_ritual_warscore_050:0 "礼制护土：+50%"
 desc_zhx_ritual_warscore_050:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+50%。"
 zhx_ritual_warscore_055:0 "礼制护土：+55%"
 desc_zhx_ritual_warscore_055:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+55%。"
 zhx_ritual_warscore_060:0 "礼制护土：+60%"
 desc_zhx_ritual_warscore_060:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+60%。"
 zhx_ritual_warscore_065:0 "礼制护土：+65%"
 desc_zhx_ritual_warscore_065:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+65%。"
 zhx_ritual_warscore_070:0 "礼制护土：+70%"
 desc_zhx_ritual_warscore_070:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+70%。"
 zhx_ritual_warscore_075:0 "礼制护土：+75%"
 desc_zhx_ritual_warscore_075:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+75%。"
 zhx_ritual_warscore_080:0 "礼制护土：+80%"
 desc_zhx_ritual_warscore_080:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+80%。"
 zhx_ritual_warscore_085:0 "礼制护土：+85%"
 desc_zhx_ritual_warscore_085:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+85%。"
 zhx_ritual_warscore_090:0 "礼制护土：+90%"
 desc_zhx_ritual_warscore_090:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+90%。"
 zhx_ritual_warscore_095:0 "礼制护土：+95%"
 desc_zhx_ritual_warscore_095:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+95%。"
 zhx_ritual_warscore_100:0 "礼制护土：+100%"
 desc_zhx_ritual_warscore_100:0 "周天下礼制约束土地兼并。天子与诸侯当前持有的省份，随天下礼乐值获得额外战争分数花费；其他国家割取本省时支付的战争分数花费提高，玩家与电脑国家的领土均受保护。礼乐值-100至100对应+0%至+100%，每5%一档向下取整。当前档位：+100%。"
