l_english:
 zhx_adopt_lijiao_requirements_tt:0 "本国属于诸夏礼教共同体，方可奉礼教为国教。"
 zhx_convene_hundred_schools_debate_title:0 "召集诸子百家"
 zhx_convene_hundred_schools_debate_desc:0 "本国尚未确立主学派。召集诸子百家临朝，从儒、法、墨、道、兵、纵横六家中选择一种治国之学。首次立论从25点践履开始；此后若要更张，只能经过漫长而有代价的国论改革。"
 zhx_review_current_doctrine_title:0 "查看国论与践履"
 zhx_review_current_doctrine_desc:0 "查看本国当前国论、践履数值、上次年度变化及该学派推崇和反对的行为。"

 zhx_doctrine.1.t:0 "诸子临朝"
 zhx_doctrine.1.d:0 "诸子百家来到[Root.GetName]的朝廷之前，各陈其治国之说。国家必须先择一门为国论；选择不收取金钱或君主点数，但此后国论能否昌明，全看国家是否真正践履其主张。"
 zhx_doctrine.1.a:0 "听取儒家之论"
 zhx_doctrine.1.b:0 "听取法家之论"
 zhx_doctrine.1.c:0 "听取墨家之论"
 zhx_doctrine.1.next:0 "再听后三家"
 zhx_doctrine.1.e:0 "时机未至，暂缓议论"

 zhx_doctrine.2.t:0 "诸子临朝·后席"
 zhx_doctrine.2.d:0 "山林之士、军府将校与往来列国的行人也已入廷。道家讲休养少扰，兵家讲庙算治军，纵横家讲审势结盟，皆可成为礼教之下的国家主学派。"
 zhx_doctrine.2.a:0 "听取道家之论"
 zhx_doctrine.2.b:0 "听取兵家之论"
 zhx_doctrine.2.c:0 "听取纵横家之论"
 zhx_doctrine.2.back:0 "返回前三家"

 zhx_doctrine.10.t:0 "以儒家立国论？"
 zhx_doctrine.10.d:0 "儒家以礼乐、名分和教化为治国根本，主张先正君臣父子之名，再以德行与制度使天下各安其分。确定以后，本国将从25点践履开始。"
 zhx_doctrine.10.a:0 "以儒家为本国国论"
 zhx_doctrine.11.t:0 "以法家立国论？"
 zhx_doctrine.11.d:0 "法家以法、术、势校正名实，以公开赏罚整顿官吏与编户。确定以后，本国将从25点践履开始。"
 zhx_doctrine.11.a:0 "以法家为本国国论"
 zhx_doctrine.12.t:0 "以墨家立国论？"
 zhx_doctrine.12.d:0 "墨家崇尚尚贤、兼爱、节用与非攻，重视守城工术和可验证的公共利益。确定以后，本国将从25点践履开始。"
 zhx_doctrine.12.a:0 "以墨家为本国国论"
 zhx_doctrine.13.t:0 "以道家立国论？"
 zhx_doctrine.13.d:0 "道家崇尚清静、因循与无为，主张节制扰民政令，使民力休养自复。确定以后，本国将从25点践履开始。"
 zhx_doctrine.13.a:0 "以道家为本国国论"
 zhx_doctrine.14.t:0 "以兵家立国论？"
 zhx_doctrine.14.d:0 "兵家讲求庙算、形势与治军，使国家常备不懈、以备止战。确定以后，本国将从25点践履开始。"
 zhx_doctrine.14.a:0 "以兵家为本国国论"
 zhx_doctrine.15.t:0 "以纵横家立国论？"
 zhx_doctrine.15.d:0 "纵横家审天下之势，以盟约、声名与权变经营列国关系。确定以后，本国将从25点践履开始。"
 zhx_doctrine.15.a:0 "以纵横家为本国国论"
 zhx_doctrine.initial_back:0 "再听诸家，不急于定论"
 zhx_doctrine.choose_ru:0 "以儒家为本国国论"
 zhx_doctrine.choose_fa:0 "以法家为本国国论"
 zhx_doctrine.choose_mo:0 "以墨家为本国国论"
 zhx_doctrine_postpone_tt:0 "两年内不能再次召集国论。"
 zhx_adopt_ru_doctrine_tt:0 "首次确立儒家国论，践履设为25；十年内不能发动国论更张。"
 zhx_adopt_fa_doctrine_tt:0 "首次确立法家国论，践履设为25；十年内不能发动国论更张。"
 zhx_adopt_mo_doctrine_tt:0 "首次确立墨家国论，践履设为25；十年内不能发动国论更张。"
 zhx_adopt_dao_doctrine_tt:0 "首次确立道家国论，践履设为25；十年内不能发动国论更张。"
 zhx_adopt_bing_doctrine_tt:0 "首次确立兵家国论，践履设为25；十年内不能发动国论更张。"
 zhx_adopt_zongheng_doctrine_tt:0 "首次确立纵横家国论，践履设为25；十年内不能发动国论更张。"

 zhx_doctrine.20.t:0 "国论践履账簿"
 zhx_doctrine.20.d.ru:0 "§Y本国国论：儒家§!\n当前践履：§Y[Root.zhx_doctrine_practice.GetValue]§!/100　距下一档：§Y[Root.zhx_doctrine_ledger_to_next_tier.GetValue]§!（为0即已达到最高档）\n距天下请辩70点门槛：§Y[Root.zhx_doctrine_ledger_to_proposal.GetValue]§!（达到后仍需本派三国采用，并有另一同派国家践履50）\n按当前国情触发合计：[Root.GetZhxDoctrinePracticeHoverTotal]\n\n§Y完整准则§!\n稳定度至少为1：+2；威望至少为25：+1；厌战低于3：+1。\n稳定度为负：-3；威望低于-25：-1；厌战至少为5：-2。"
 zhx_doctrine.20.d.fa:0 "§Y本国国论：法家§!\n当前践履：§Y[Root.zhx_doctrine_practice.GetValue]§!/100　距下一档：§Y[Root.zhx_doctrine_ledger_to_next_tier.GetValue]§!（为0即已达到最高档）\n距天下请辩70点门槛：§Y[Root.zhx_doctrine_ledger_to_proposal.GetValue]§!（达到后仍需本派三国采用，并有另一同派国家践履50）\n按当前国情触发合计：[Root.GetZhxDoctrinePracticeHoverTotal]\n\n§Y完整准则§!\n腐败低于2：+2；平均超最低自治低于25：+1；过度扩张低于10%：+1。\n腐败至少为5：-3；平均超最低自治至少为50：-2；过度扩张至少为25%：-2。"
 zhx_doctrine.20.d.mo:0 "§Y本国国论：墨家§!\n当前践履：§Y[Root.zhx_doctrine_practice.GetValue]§!/100　距下一档：§Y[Root.zhx_doctrine_ledger_to_next_tier.GetValue]§!（为0即已达到最高档）\n距天下请辩70点门槛：§Y[Root.zhx_doctrine_ledger_to_proposal.GetValue]§!（达到后仍需本派三国采用，并有另一同派国家践履50）\n按当前国情触发合计：[Root.GetZhxDoctrinePracticeHoverTotal]\n\n§Y完整准则§!\n作为防御方战争领袖：+3，否则和平时：+2；没有借款：+1；厌战低于3：+1。\n作为进攻方战争领袖：-4；至少有三笔借款：-2；厌战至少为5：-2。"
 zhx_doctrine.20.a:0 "合上账簿，继续践履"
 zhx_doctrine.90.t:0 "年度践履结算"
 zhx_doctrine.90.d:0 "本国国论的践履已完成年度结算。"
 zhx_doctrine.94.t:0 "国论践履跨档"
 zhx_doctrine.94.d:0 "§Y[Root.GetZhxDoctrineReceiptSchool]§!的年度践履已经跨越一重境界。\n\n§Y[Root.GetZhxDoctrineReceiptOldTier]§! → §Y[Root.GetZhxDoctrineReceiptNewTier]§!\n本年实际变化：§Y[Root.zhx_doctrine_last_delta.GetValue]§!"
 zhx_doctrine.94.a:0 "知其进退，继续践履"
 zhx_doctrine.95.t:0 "天下请辩门槛变动"
 zhx_doctrine.95.d.gained:0 "§Y[Root.GetZhxDoctrineReceiptSchool]§!践履在本年结算后达到70点，我们取得了上书请辩的践履门槛。\n\n这不等于自动成为候选：本国还须属于周天下、奉行礼教，本派至少有三国采用，并有另一同派国家践履达到50。"
 zhx_doctrine.95.d.lost:0 "§Y[Root.GetZhxDoctrineReceiptSchool]§!践履在本年结算后跌破70点，我们暂时失去了上书请辩的践履门槛。\n\n重新达到70点后，仍须满足周天下、礼教、本派三国采用和另一同派国家践履50等条件，才能递交正式请辩书。"
 zhx_doctrine.95.a:0 "记下此变"
 zhx_doctrine_receipt_school_ru:0 "儒家"
 zhx_doctrine_receipt_school_fa:0 "法家"
 zhx_doctrine_receipt_school_mo:0 "墨家"
 zhx_doctrine_receipt_school_dao:0 "道家"
 zhx_doctrine_receipt_school_bing:0 "兵家"
 zhx_doctrine_receipt_school_zongheng:0 "纵横家"
 zhx_doctrine_receipt_school_unknown:0 "本国国论"
 zhx_doctrine_receipt_tier_hollow:0 "名实未副"
 zhx_doctrine_receipt_tier_established:0 "国论初立"
 zhx_doctrine_receipt_tier_flourishing:0 "国论昌明"
 zhx_doctrine_receipt_tier_exemplary:0 "实践典范"

 zhx_doctrine_change_cooldown:0 "国论更张期"
 zhx_doctrine_change_cooldown_desc:0 "朝廷刚刚举行过国论，士人、官吏与地方网络需要时间消化结果。"
 zhx_doctrine_ru_hollow:0 "礼崩名乱"
 zhx_doctrine_ru_hollow_desc:0 "朝廷口称崇礼行仁，实际却不能维持名分、秩序与信义；虚礼正在反噬国政。"
 zhx_doctrine_fa_hollow:0 "法令不行"
 zhx_doctrine_fa_hollow_desc:0 "法令徒具其文，官吏失于考课，地方与腐败反而借繁法滋长。"
 zhx_doctrine_mo_hollow:0 "守义不修"
 zhx_doctrine_mo_hollow_desc:0 "朝廷空谈兼爱、非攻与节用，城防、工事和民力却因失于整饬而日益败坏。"
 zhx_doctrine_dao_hollow:0 "失道扰民"
 zhx_doctrine_dao_hollow_desc:0 "朝廷名为清静，实则政令扰民、征伐耗众，所谓无为已沦为空言。"
 zhx_doctrine_bing_hollow:0 "武备弛废"
 zhx_doctrine_bing_hollow_desc:0 "兵书高悬而训练废弛，军纪、后备与士气都在空谈武备中衰败。"
 zhx_doctrine_zongheng_hollow:0 "信义俱失"
 zhx_doctrine_zongheng_hollow_desc:0 "使节只知翻覆辞令而不能守信结援，列国已不再相信本国的承诺。"
 zhx_doctrine_ru_established:0 "儒论初行"
 zhx_doctrine_ru_established_desc:0 "践履达到25：教化与礼序开始进入日常政务。"
 zhx_doctrine_ru_flourishing:0 "礼治成章"
 zhx_doctrine_ru_flourishing_desc:0 "践履达到50：礼制、名分与选贤已经形成稳定制度。"
 zhx_doctrine_ru_exemplary:0 "仁政化成"
 zhx_doctrine_ru_exemplary_desc:0 "践履达到75：本国已成为儒家治国的天下典范。"
 zhx_doctrine_fa_established:0 "法令始定"
 zhx_doctrine_fa_established_desc:0 "践履达到25：法令和官吏考课开始统一。"
 zhx_doctrine_fa_flourishing:0 "法术势并行"
 zhx_doctrine_fa_flourishing_desc:0 "践履达到50：制度能够持续纠正腐败、自治与名实错位。"
 zhx_doctrine_fa_exemplary:0 "名实一贯"
 zhx_doctrine_fa_exemplary_desc:0 "践履达到75：政令、官责与赏罚已经贯通全国。"
 zhx_doctrine_mo_established:0 "墨守有方"
 zhx_doctrine_mo_established_desc:0 "践履达到25：守城、节用与工匠网络开始发挥作用。"
 zhx_doctrine_mo_flourishing:0 "兼爱尚贤"
 zhx_doctrine_mo_flourishing_desc:0 "践履达到50：公共利益和贤能标准正在压过门第私利。"
 zhx_doctrine_mo_exemplary:0 "非攻成治"
 zhx_doctrine_mo_exemplary_desc:0 "践履达到75：本国以克制攻伐、坚固守备和节用尚贤闻名天下。"
