l_english:
 # 王命术语总覆盖：仅覆盖中华帝国机制语境；DLC 商品名与历史专名不纳入本文件。
 # 00_lanfang_l_english.yml
 ming_crisis.10.d:0 "明王朝陷入了危机之中。军阀割据、争权夺利，这使得明朝廷连控制其本国的领地都已捉襟见肘。我们必须扪心自问，这样一个骚乱不安的政权是否还值得葆有王命，而[Root.GetName]是否应当重新考量自己与明朝的贡属关系。"
 flavor_dai.4.t:0 "王命"
 flavor_dai.4.d:0 "明失其德，暴虐无章。王命在吾，席卷八荒。一统九州，合铸新邦。但求一名，千载荣昌。"
 # decisions_l_english.yml
 empire_of_china_desc:0 "中华帝统正被名不副实的人所玷污。作为王命遗产的荣耀继承者，我们的[Root.Monarch.GetTitle]一旦将帝国的各个古都纳入掌控，则新的[Root.GetTributaryOverlord]将会建立。"
 # diplo_reasons_l_english.yml
 DIPLO_THREATHENING_MANDATE:0 "王命受到威胁："
 # diplomacy_l_english.yml
 CELESTIAL_EMPIRE_WAR_NAME:0 "$ORDER$$FIRST$-$SECOND$王命争夺战"
 # domination_l_english.yml
 mng_heavens_will_desc:0 "王命之火炬已传到我们的朝代。为了证明自己的价值并发挥中国的力量，我们必须展示改革和治理国家所需的卓越和能力，这是长期以来没有人能够完成的壮举，直到我们的朝代掌权。这真正是对拥有王命的统治者的考验。"
 mng_erc_reward_tt:1 "\n§M扩张王室宫廷§!：每项宦官特权给予§Y20§!点£adm£、£dip£与£mil£，§Y宦官影响力§!增加，并且获得一项提高§Y王命§!增长、降低§Y腐败度§!的宦官阶层特权"
 mng_5_mandate_per_ally_tt:0 "每有一个§Y盟友§!，我国获得§Y5§!王命"
 mng_every_sieged_province_rebels_10_mandate_lost_tt:0 "\n所有被叛军围攻的省份将降低§R-10§!点王命"
 mng_heavens_favor_modifier:0 "王命所归"
 mng_imperial_fall_from_grace_modifier:0 "王命尽失"
 flavor_mng.38.d:1 "王命之说充斥着深刻的启示与玄秘之辞，揭露着王朝兴盛衰亡的循环，见证着中土诸朝由尽有天下到覆于寒微。幸哉圣朝，[Root.Monarch.GetName]之治如同黑暗长河中一盏灼目的炬火，名副其实地诠释了什么叫「王命攸归」。"
 flavor_mng.38.a:1 "[Root.Monarch.GetName]真正得咸王命之理，操弄万物之势。"
 estate_eunuchs_outwards_perfection_privilege_desc:0 "仅仅关注国内事务的时代已经结束了，我们的人民已经准备好以王命之名，远播皇恩了。"
 EST_VAL_LOW_MANDATE:0 "低王命: §Y+20%§!"
 estate_eunuchs_have_x_decree_agenda_desc:0 "我们必须怀着热切的愿望来追随王命，以顺应王命的眷顾。"
 estate_eunuchs_improve_imperial_mandate_agenda:0 "提高王命"
 qng_campaign_in_burma_desc:0 "截至目前，越来越多的明朝遗忠正逃往缅甸，在缅族与掸族的土司们那里寻求庇护。我们必须告诉他们，在王命所归的王朝面前，他们无处可逃。"
 fate_of_the_mandate_title:0 "逐鹿王命"
 chi_independence_desc:0 "在数十年的贫弱管理与失去王命之后，明朝对中国的统治即将结束。分裂的地区和军阀拿起武器，各自努力将自己的统治强加于他人之上。"
 chi_subject_reward_tt:0 "如果我们通过提高属国§Y数量§!来完成任务且身为§Y中国皇帝§!，每个属国将给予我们§G10§!点王命及以下奖励："
 promote_sojunghwa_decision_desc:0 "中华帝国陷于区区夷狄！群虏入主中原，王命黯然蒙尘。\n绍承中华仪制，[Root.GetUsableName]责无旁贷。"
 desc_jap_era_tranquil_sun_modifier:0 "正如太阳是天空的主宰一样，我们是中国的合法统治者和王命的持有者。"
 flavor_jap.64.t:0 "王命的归属"
 flavor_jap.64.d:0 "我们的国家一直生活在中国的阴影下。中国一直认为自己是世界的中心，并且按照王命有权统治其所有领土。过去我们被迫接受这些荒谬的主张，但老虎已经觉醒了，它不再听从龙的命令！\n\n如果有一个国家可以声称代天牧民，那就只能是我们神圣的国家。我们可以将中国的帝位保留原样，连同其所有的官僚机构，或让其服从于一个真正的神授王权的统治下，不可避免地消亡。"
 flavor_jap.64.a:0 "王命在我，只属于我一个人！"
 fabricate_tributary_cb_tooltip:0 "凭借我们神圣的王命与地下的能力将他们收附于§Y中国皇帝§!之麾下"
 # emperor_l_english.yml
 COUNTRY_CANNOT_EMBRACE_REVOLUTION_CELESTIAL_EMPIRE:0 "革命与王命水火不容。中国皇帝永远不会接纳它。"
 # EU4_l_english.yml
 obj_emperor_of_china_desc:0 "成为中国皇帝且王命值超过50。"
 ENACT_REFORM_COST_DESC:0 "这将花费$STABILITY|R$稳定度和$MANDATE|R$王命值，带给我们如下长期影响：\n$EFFECTS$"
 cb_take_mandate:0 "夺取王命"
 cb_take_mandate_desc:0 "我们必须向全世界证明自己是王命所归。"
 # generic_events_l_english.yml
 china_events.7.d:1 "由于越来越多没有后备金的银票被帝国政府签发，商贸衙门担忧通货膨胀将很快成为[Root.GetAdjective]帝国的一个日益严重的问题，各省的百姓也开始谈论称这一迹象表明我们正在失去王命。\n今天，一名代表来到朝内并提出了一项中兴帝国经济的计划：征收一项临时的税赋并对国库进行改革。"
 china_events.31.d:0 "[From.From.GetName]朝已经灭亡，[Root.Monarch.Dynasty.GetName]氏王朝被公认为继承了王命。我们应负担起皇帝的职责，带领老百姓进入繁荣稳定的新时代。\n如果我们想要赢得[From.From.GetName]朝遗老及余党的支持，就必须搭建起自己的帝国官僚体制并打造一个强力而持久的政府。另一方面，[Root.Monarch.GetName]担心那些承袭自[Root.Monarch.GetHerHis]前任的政府里还残留有不忠诚的官员。"
 china_events.37.da:0 "在孔子编纂的五经之外，据记载，还存在着第六本儒家经典：《乐经》。《乐经》中记录了多达 305 首古曲，但在秦皇焚书坑儒后失传。最近这一儒家经典在华南某个旧藏书阁物品清点后重现江湖。这一重大发现无疑标志着，王命在国朝。"
 china_events.45.d:0 "近年来我们对帝国的掌控力度不断削弱，突发情况层出不绝，因此民间有人声称，我们在失去王命。在这种情况下，各式各样的千禧年宗教运动在全国各地出现。在元末就有白莲教打着类似旗号，但实际上白莲教和近年的千禧年宗教运动在动机等方面还是有很多不同之处的。\n然而它们的共通之处就是都追求改朝换代，渴望推翻强权的压迫。"
 china_events.47.d:0 "最近王命仿佛不再眷顾我们了。在我们国家的几个省份中，匪祸问题愈演愈烈，而古丝绸之路上的土匪响马尤为猖獗。"
 china_events.49.d:0 "你敬畏地注视着光芒万丈的太阳渐渐消失在一个黑色圆盘后面，尽管正处中午时分，世界仍然变得漆黑一片。几分钟后，黑色圆盘离开了太阳，光明重回大地。你吃惊于太阳的消失，但你的许多臣民完全被吓坏了。民间有谣言称，这次日食是我们王朝失去王命的标志。对于这种情况，我们究竟该怎么办呢？"
 china_events.53.d:0 "一声尖叫响彻宫殿，但很快就再次消逝在黑夜的沉默与黑暗中。一名廷臣被杀死在床上，他背上深深地插着一柄刀子，身上其它地方也有几处伤口。谋杀和冲突在$COUNTRY$越闹越凶，很多人都相信我们失去了王命的眷顾。"
 china_events.54.d:0 "过去九个月以来，你一直期待着成为父亲的这一天。今天，你的一个妃子给你生了一个儿子。但当孩子抱到你面前时，你的喜悦彻底消失了。他那扭曲的脸犹如噩梦，小小的身躯上散布着斑点状的乌黑体毛。孩子是畸形的，你的医生怀疑他的智力也有问题。有人声称这场灾难证明我们不再享有王命。"
 china_events.55.d:0 "中国皇帝当下十分虚弱且缺乏支持。从南到北，全国各地每一个普通的中国人都在质疑他的统治，连其忠诚的官员也在怀疑[empire_of_china.Monarch.GetName]是否已失去了王命。\n[chinese_border_province.GetName]的那些不安分的[chinese_border_province.Culture.GetName]地方官开始与[Root.Monarch.GetName]接触，请求我们结束[empire_of_china.Monarch.Dynasty.GetName]氏王朝的统治，把他们从[empire_of_china.GetName]政府的压迫下解救出来。"
 china_events.56.d:0 "内阁大臣们报告了最近几年他们各自专擅领域的成就，而带来的都是坏消息。有一个严重的问题是，某部门对未来的进展速度十分悲观，该部门所属派系也因此事大为丢脸。正是在我们正在丢失王命这件事越发为人所认同时，此事被揭露出来。\n是哪个部门存在失职？"
 china_events.56.da:0 "内阁大臣们报告了最近几年他们各自专擅领域的成就，而带来的都是坏消息。有一个严重的问题是，某部门对未来的进展速度十分悲观，该部门所属派系也因此事大为丢脸。正是在我们正在丢失王命这件事越发为人所认同时，此事被揭露出来。"
 china_events.59.d:0 "从珠江那里传来了噩耗，一批载有大量$YEAR$年税银的漕运驳船因恶劣天气而沉没了。户部尚书将此视为本朝不再享有王命的凶兆，并声称我们只能听天由命。我们该如何应对这个烂摊子？"
 china_events.61.d:0 "宫中对边疆地区的影响力在日益衰落，某些地方官甚至公然宣称我们不再享有王命。他们投向了紧邻的[From.GetName][From.GovernmentName]，引导他们侵略我们的国土。"
 EVTDESC11316:0 "一声尖叫响彻了整个宫殿，但是很快又消散在了黑夜的寂静之中。一名朝臣背后被插上了一把利刃，死在了他的卧室之中，他的身体上还留有许多被刺伤的痕迹。自相残杀和内部冲突在$COUNTRY$的内部变得更加常见，许多人都相信我们失去了王命。有三个人可能参与了这场谋杀，到底是谁干的呢？"
 EVTDESC11320:0 "你的继承人被放在一副担架上，奄奄一息地抬到你面前。他和几个同伴骑马时不小心摔下马背。当你面对他毫无意义的死亡时不由得怒火中烧。皇帝的继承人死了，不是光荣的战死沙场，而是无意义的死于意外。这一事件清楚地表明我们的王朝已经失去了王命，我们必须努力重新获得王命。他的同伴来自不同的派系，谁应对这场意外负责？"
 china_events.55.d.not_emperor:0 "[empire_of_china.GetAdjective][empire_of_china.Monarch.GetTitle]，曾经的中国皇帝，[empire_of_china.Monarch.GetName]如今蜷缩在他残余的领地里，十分虚弱且缺乏支持。从南到北，中国百姓无人不质疑他的统治，连平日无比忠诚的官员们也公开宣布[empire_of_china.Monarch.GetName]已经失去王命。\n[chinese_border_province.GetName]的那些不安分的[chinese_border_province.Culture.GetName]地方官开始与[Root.Monarch.GetName]接触，请求我们结束[empire_of_china.Monarch.Dynasty.GetName]氏王朝的统治，把他们从[empire_of_china.GetName]政府的压迫下解救出来。"
