l_english:
 zhx_convene_later_schools_debate_title:0 "召集道兵纵横国论"
 zhx_convene_later_schools_debate_desc:0 "邀请道家、兵家与纵横家入廷，并从中选择两家辩论。立论本身不花费金钱或君主点数；国家此后是否休养少扰、整军备战或经营盟信，才会决定这套国论能否昌明。"

 zhx_doctrine_expansion.1.t:0 "山林、军府与行人"
 zhx_doctrine_expansion.1.d:0 "山林之士主张少扰而治，军府将校强调备边与治众，往来列国的行人则称存国之道全在审势结盟。三家都愿在礼教名义下接受朝廷考问，但一场国论只能先请两家对席。"
 zhx_doctrine_expansion.1.a:0 "请道家与兵家论静治与武备"
 zhx_doctrine_expansion.1.b:0 "请道家与纵横家论守静与应变"
 zhx_doctrine_expansion.1.c:0 "请兵家与纵横家论强兵与结盟"
 zhx_doctrine_expansion.1.e:0 "时机未至，暂缓议论"
 zhx_doctrine_expansion_postpone_tt:0 "两年内不会再次召开后三家国论。"
 zhx_doctrine_inconclusive_tt:0 "本次国论不定一说；五年内不能再次召开同类国论。"

 zhx_doctrine_expansion.10.t:0 "静治与武备之辩"
 zhx_doctrine_expansion.10.d:0 "道者认为国君应知止少扰，使民力在无为中自行恢复；兵者则说休养若无边备便只是邀敌，国家必须平日治众、积储、练兵，才能以不战保全社稷。"
 zhx_doctrine_expansion.11.t:0 "守静与应变之辩"
 zhx_doctrine_expansion.11.d:0 "道者告诫朝廷不要被列国一时离合牵着走，应当守柔处下、减少干预；纵横之士则认为小国若不能审势结盟，所谓清静不过是把命运交给强邻。"
 zhx_doctrine_expansion.12.t:0 "强兵与结盟之辩"
 zhx_doctrine_expansion.12.d:0 "兵者主张实力与准备才是盟约的根基；纵横之士则说孤军再强也难敌天下之势，善用信誉、盟友与外交阵线本身就是制胜之兵。"

 zhx_doctrine.choose_dao:0 "以道家为本国国论"
 zhx_doctrine.choose_bing:0 "以兵家为本国国论"
 zhx_doctrine.choose_zongheng:0 "以纵横家为本国国论"
 zhx_doctrine.20.d.dao:0 "§Y本国国论：道家§!\n当前践履：§Y[Root.zhx_doctrine_practice.GetValue]§!/100　距下一档：§Y[Root.zhx_doctrine_ledger_to_next_tier.GetValue]§!（为0即已达到最高档）\n距天下请辩70点门槛：§Y[Root.zhx_doctrine_ledger_to_proposal.GetValue]§!（达到后仍需本派三国采用，并有另一同派国家践履50）\n按当前国情触发合计：[Root.GetZhxDoctrinePracticeHoverTotal]\n\n§Y完整准则§!\n处于和平：+2；厌战低于2：+1；过度扩张低于5%：+1。\n厌战至少为5：-2；过度扩张至少为25%：-2。"
 zhx_doctrine.20.d.bing:0 "§Y本国国论：兵家§!\n当前践履：§Y[Root.zhx_doctrine_practice.GetValue]§!/100　距下一档：§Y[Root.zhx_doctrine_ledger_to_next_tier.GetValue]§!（为0即已达到最高档）\n距天下请辩70点门槛：§Y[Root.zhx_doctrine_ledger_to_proposal.GetValue]§!（达到后仍需本派三国采用，并有另一同派国家践履50）\n按当前国情触发合计：[Root.GetZhxDoctrinePracticeHoverTotal]\n\n§Y完整准则§!\n陆军达到上限80%：+2；陆军传统至少为40：+1；人力至少为50%：+1。\n陆军低于上限50%：-2；陆军传统低于20：-2；人力低于15%：-2。"
 zhx_doctrine.20.d.zongheng:0 "§Y本国国论：纵横家§!\n当前践履：§Y[Root.zhx_doctrine_practice.GetValue]§!/100　距下一档：§Y[Root.zhx_doctrine_ledger_to_next_tier.GetValue]§!（为0即已达到最高档）\n距天下请辩70点门槛：§Y[Root.zhx_doctrine_ledger_to_proposal.GetValue]§!（达到后仍需本派三国采用，并有另一同派国家践履50）\n按当前国情触发合计：[Root.GetZhxDoctrinePracticeHoverTotal]\n\n§Y完整准则§!\n至少有两个盟友：+2；外交声誉至少为1：+1；威望至少为25：+1。\n没有盟友：-3；外交声誉低于0：-2；威望低于-25：-1。"

 zhx_doctrine_dao_established:0 "守静初行"
 zhx_doctrine_dao_established_desc:0 "践履达到25：少扰、休养与消解民困开始进入日常政务。"
 zhx_doctrine_dao_flourishing:0 "清静成治"
 zhx_doctrine_dao_flourishing_desc:0 "践履达到50：朝廷能够以较少扰动维持地方安定与民力恢复。"
 zhx_doctrine_dao_exemplary:0 "自然化成"
 zhx_doctrine_dao_exemplary_desc:0 "践履达到75：守柔知止已成为稳定而可见的国家传统。"
 zhx_doctrine_bing_established:0 "讲武有备"
 zhx_doctrine_bing_established_desc:0 "践履达到25：兵员补充、军纪与日常训练开始制度化。"
 zhx_doctrine_bing_flourishing:0 "兵势相济"
 zhx_doctrine_bing_flourishing_desc:0 "践履达到50：军队规模、传统和后备能够彼此支撑。"
 zhx_doctrine_bing_exemplary:0 "师律精强"
 zhx_doctrine_bing_exemplary_desc:0 "践履达到75：本国以长期备战、治众有方和军令严整闻名。"
 zhx_doctrine_zongheng_established:0 "行人通聘"
 zhx_doctrine_zongheng_established_desc:0 "践履达到25：使节、盟约与列国情报开始形成稳定网络。"
 zhx_doctrine_zongheng_flourishing:0 "合纵有方"
 zhx_doctrine_zongheng_flourishing_desc:0 "践履达到50：信誉与盟友已能持续扩大本国的外交回旋空间。"
 zhx_doctrine_zongheng_exemplary:0 "从横捭阖"
 zhx_doctrine_zongheng_exemplary_desc:0 "践履达到75：本国善于组织阵线、维护信誉并驾驭列国之势。"
