"design_key","game_id","rgb_r","rgb_g","rgb_b","macro_region","draw_batch","new_name_zh","new_name_en","internal_key_hint","parent_id","parent_definition_name","parent_history_name","parent_area","parent_tax","parent_production","parent_manpower","retained_name_zh","retained_tax","retained_production","retained_manpower","new_tax","new_production","new_manpower","split_group","group_dev_delta","proposed_owner","claims_or_uncertainty","status","rationale"
"N-01","4969","45","71","190","north_china","B04","沧州","Cangzhou","zhx_cangzhou_hebei","695","Beijing","Hejian","south_hebei_area","3","3","2","河间","2","1","1","1","2","1","p695-a","0","燕","","working","分离冀东南盐场、河海转运与内陆河间。"
"N-02","4970","219","83","67","north_china","B04","邢州","Xingzhou","zhx_xingzhou_hebei","2137","Daming","Daming","south_hebei_area","3","3","2","大名","2","1","1","1","2","1","p2137-a","0","燕","晋有争议；最终所有者待定","ownership_pending","表现太行山东麓走廊和燕晋山前门户。"
"N-03","4973","197","195","38","north_china","B05","登州","Dengzhou","zhx_dengzhou_shandong","2139","Laizhou","Laizhou","shandong_area","3","3","2","莱州","2","1","1","1","2","1","p2139-a","0","齐","","working","分离胶东北端海港、渔盐和对辽东、朝鲜航路。"
"N-04","4974","60","180","226","north_china","B05","聊城","Liaocheng","zhx_liaocheng_shandong","691","Jinan","Jinan","shandong_area","5","5","3","济南","3","3","2","2","2","1","p691-a","0","齐","","working","表现山东西缘水运和河北—中原交通节点。"
"N-05","4975","190","45","107","north_china","B05","曲阜","Qufu","zhx_qufu_shandong","2140","Yanzhou","Yanzhou","shandong_area","3","3","3","兖州","2","2","1","1","1","2","p2140-a","0","鲁","需迁移孔庙及宗教中心修正","working","把礼邑和孔庙所在地从普通兖州省中独立出来。"
"N-06","4966","73","212","204","north_china","B03","荥阳","Xingyang","zhx_xingyang_henan","688","Kaifeng","Kaifeng","wangji_area","8","8","4","开封","4","4","1","1","1","1","p688-fourway","0","大周王畿","王畿西门","geometry_drawn_assets_ready","以虎牢—汜水方向表现开封王畿的西部门户。"
"N-07","4967","197","38","160","north_china","B14","陕州","Shanzhou","zhx_shanzhou_henan","1836","Nanyang","Luoyang","chengzhou_area","5","5","3","洛阳","7","7","4","3","3","2","p1836-chengzhou","30","大周王畿","秦保留历史宣称","geometry_drawn_assets_ready","成周区域西门，控制崤函、三门峡与秦周边境。"
"N-08","4971","30","204","100","north_china","B04","汾州","Fenzhou","zhx_fenzhou_shanxi","693","Sanguan","Taiyuan","shanxi_area","6","6","3","太原","4","4","2","2","2","1","p693-a","0","晋","","working","分出汾河中游农业和商路腹地。"
"N-09","4972","170","73","212","north_china","B04","蒲州","Puzhou","zhx_puzhou_shanxi","694","Changzhi","Pingyang","shanxi_area","3","2","2","平阳","2","1","1","1","1","1","p694-a","0","晋","","working","表现运城盆地、河东盐池和黄河渡口。"
"N-10","4962","226","60","97","north_china","B02","同州","Tongzhou","zhx_tongzhou_shaanxi","700","Shaanxi","Xi'an","shaanxi_area","7","7","3","西安","5","4","2","2","3","1","p700-a","0","秦","","working","分离关中东部粮仓、渭洛河间和潼关后方。"
"N-11","4963","45","190","54","north_china","B02","金州","Jinzhou (Ankang)","zhx_jinzhou_ankang","689","Fengyuan","Hanzhong","shaanxi_area","4","4","3","汉中","3","2","2","1","2","1","p689-a","0","秦","","working","分离汉中盆地和安康—汉水峡谷。"
"N-12","4964","121","67","219","north_china","B02","敦煌","Dunhuang","zhx_dunhuang_hexi","707","Yumen","Yumen","west_gansu_area","2","2","1","玉门","1","1","1","1","1","1","p707-a","1","斡罗斯","推荐斡罗斯控制、秦保留核心；尚未升格为正典","ownership_pending","沙州绿洲、西域入口和斡罗斯危机前线节点。"
"N-13","4965","204","144","30","north_china","B02","河州","Hezhou","zhx_hezhou_gansu","699","Lanzhou","Lanzhou","gansu_area","6","6","3","兰州","4","4","2","2","2","1","p699-a","0","秦","绘图时核对洮州和西宁邻接","boundary_pending","分离兰州都会与陇藏贸易、多族群山地边疆。"
"N-14","4968","138","226","60","north_china","B03","宿州","Suzhou (Anhui)","zhx_suzhou_anhui","2141","Xuzhou","Xuzhou","jiangsu_area","6","6","3","徐州","4","4","2","2","2","1","p2141-a","0","商宋","淮扬盟可有争议核心","working","表现淮北农业和汴泗交通，增加商宋南部腹地。"
"N-15","5030","238","145","35","north_china","B03","郑州","Zhengzhou","zhx_zhengzhou_wangji","688","Kaifeng","Kaifeng","wangji_area","8","8","4","开封","4","4","1","2","2","1","p688-fourway","0","大周王畿","王畿西南腹地","geometry_drawn_assets_ready","连接嵩洛道路、黄河渡口与开封首都的西南城邑。"
"N-16","5031","115","205","175","north_china","B03","陈留","Chenliu","zhx_chenliu_wangji","688","Kaifeng","Kaifeng","wangji_area","8","8","4","开封","4","4","1","1","1","1","p688-fourway","0","大周王畿","王畿东门","geometry_drawn_assets_ready","沿汴水向东承接商宋方向，作为开封首都的东部粮运门户。"
"XN-01","4984","73","81","212","xinan","B09","眉州","Meizhou (Sichuan)","zhx_meizhou_sichuan","679","Sichuan Pendi","Chengdu","sichuan_area","9","9","3","成都","7","7","2","2","2","1","p679-a","0","蜀","","working","分出成都—嘉州岷江轴线上的农业和交通腹地。"
"XN-02","4985","197","75","38","xinan","B09","雅州","Yazhou","zhx_yazhou_sichuan","4212","Jiazhou","Jiazhou","sichuan_area","3","2","2","嘉州","2","1","1","1","1","1","p4212-a","0","蜀","","working","表现邛崃山口和茶马通道。"
"XN-03","4986","60","226","148","xinan","B09","叙州","Xuzhou (Sichuan)","zhx_xuzhou_sichuan","4213","Luzhou","Luzhou","chuannan_area","2","2","2","泸州","1","1","1","1","1","1","p4213-a","0","蜀","巴有争议；最终所有者待定","ownership_pending","表现岷江—长江汇合处和川南入滇路线。"
"XN-04","4987","164","45","190","xinan","B09","万州","Wanzhou","zhx_wanzhou_sichuan","680","Shenquing","Chongqing","chongqing_area","8","8","4","重庆","4","4","1","1","1","1","p680-fiveway","1","巴","","geometry_drawn_assets_ready","夔州府西部的峡江中段和川东物产转运节点。"
"XN-09","5026","225","90","40","xinan","B09","合州","Hezhou (Chongqing)","zhx_hezhou_chongqing","680","Shenquing","Chongqing","chongqing_area","8","8","4","重庆","4","4","1","1","1","1","p680-fiveway","1","巴","","geometry_drawn_assets_ready","沿嘉陵江上游分出重庆北门，以明代合州建制表现蜀巴陆路和江运门户。"
"XN-10","5027","70","190","155","xinan","B09","涪州","Fuzhou (Chongqing)","zhx_fuzhou_chongqing","680","Shenquing","Chongqing","chongqing_area","8","8","4","重庆","4","4","1","1","1","1","p680-fiveway","1","巴","","geometry_drawn_assets_ready","围绕长江—乌江汇流处分出涪州，承接武隆、彭水方向的山地通道。"
