l_english:
 east_asian:0 "诸夏"
 gdd_baiyue_group:0 "百越"
 korean_g:0 "殷商"
 gdd_qiang_group:0 "羌"
 gdd_zhongyuan:0 "中原"
 gdd_jianghuai:0 "江淮"
 gdd_chu:0 "楚"
 gdd_gan:0 "赣"
 gdd_hakka:0 "客家"
 gdd_gui:0 "桂"
 gdd_shu:0 "蜀"
 gdd_dian:0 "滇"
 gdd_jin:0 "晋"
 gdd_qi:0 "齐"
 gdd_yan:0 "燕"
 gdd_long:0 "陇"
 gdd_guangfu:0 "粤"
 gdd_zhuang:0 "壮侗"
 gdd_wu:0 "吴越"
 gdd_min:0 "闽越"
 gdd_songwei:0 "宋卫"
 gdd_dongyi:0 "东夷"
 gdd_diqiang:0 "氐羌"
 vietnamese:0 "安南"
 miao:0 "苗瑶"
 korean:0 "朝鲜"
 bai:0 "白"
 yi:0 "彝"
 gdd_zhuang_new:0 "汉化壮侗"
