l_english:
 zhx_feudatory_heir:0 "世子"
 zhx_feudatory_consort:0 "国君配偶"
 zhx_feudatory_petition:0 "请封晋爵"
 zhx_feudatory_petition_title:0 "请封晋爵"
 zhx_feudatory_petition_desc:0 "向周天子呈递晋爵请求。子升伯由天子直接裁可；伯升侯、侯升公须经一年公议。正式呈递即用掉本届请封机会，不扣盟功。"
 zhx_feudatory_petition_tooltip:0 "呈递晋爵请求：子升伯待天子直接批准；伯升侯、侯升公待天子受理后交付公议。"
 zhx_feudatory_petition_requirements_tt:0 "子升伯：本届盟功至少50、发展度至少50、直接拥有至少5个城市省份。伯升侯：100盟功、100发展度、10个城市。侯升公：200盟功、200发展度、20个城市。三项同时达标；每届只能提交一次，未结案不可重复提交，不可与天子交战。子升伯可与公议并行；其余晋爵要求公议空闲且无待处理王命危机。"
 zhx_feudatory_petition_sent_tt:0 "正式呈递请封书，登记本届功绩并用掉本届机会。子升伯由天子直接裁可；其余晋爵由天子决定是否交付公议。此时尚未授爵，不扣盟功。"
 zhx_feudatory_begin_vote_tt:0 "开启持续365天的天下事变。诸侯各一票，申请国可以投票；赞同严格多于反对即获准晋爵，平票失败。天子不另投票，结果通过后直接册封。"
 zhx_feudatory_refusal_tt:0 "结束本次请封。本国在提交时所属届次的机会已经用掉，盟功不受损失。"
 zhx_feudatory.vote_support:0 "赞同晋爵"
 zhx_feudatory.vote_oppose:0 "反对晋爵"
 zhx_feudatory.vote_abstain:0 "暂且弃权"
 zhx_feudatory.2.t:0 "爵制维护"
 zhx_feudatory.2.d:0 "核对周天下君主诸侯的爵制与正在处理的请封。"
 zhx_feudatory.3.t:0 "诸侯请封"
 zhx_feudatory.3.d:0 "核对本年度符合资格的诸侯请封。"
 zhx_feudatory.10.t:0 "诸侯请封晋爵"
 zhx_feudatory.10.d:0 "[zhx_feudatory_applicant.GetName]呈上请封书，援引本届§Y[zhx_feudatory_applicant.zhx_feudatory_submitted_merit.GetValue]§!点盟功，请求进爵一等。\n\n列国爵位通常承袭旧封。天子若准许此议，天下诸侯将以一年公议决定是否承认新爵；天子此时裁可的是交付公议，通过后便依议册封。正常换届不会抹去已经登记的功绩。"
 zhx_feudatory.10.a:0 "准予列国公议"
 zhx_feudatory.10.b:0 "维持旧封"
 zhx_feudatory.11.t:0 "天子未准请封"
 zhx_feudatory.11.d:0 "本次晋爵请求未获准交付公议，旧封继续有效。此次申请不扣盟功，但已用掉提交时所在届次的请封机会。"
 zhx_feudatory.11.a:0 "遵奉旧封"
 zhx_feudatory.20.t:0 "天下事变：诸侯晋爵"
 zhx_feudatory.20.d:0 "周天子已将[zhx_feudatory_applicant.GetName]的晋爵请求交付公议。该国提交时登记本届盟功§Y[zhx_feudatory_applicant.zhx_feudatory_submitted_merit.GetValue]§!。\n\n诸侯各有一票，可赞同、反对或弃权；一年期满，赞同严格多于反对便通过，平票则维持旧爵。公议期间可通过国家决议查看票数并改票。"
 zhx_feudatory.21.t:0 "新爵获天下承认"
 zhx_feudatory.21.d:0 "列国公议已经通过，周室依议颁下新册。本国晋爵一等，旧爵由新爵取代，相应名分与待遇已经生效。周制封国继续实行，现任国君仍奉周室之册治国。"
 zhx_feudatory.21.a:0 "受册承祀"
 zhx_feudatory.22.t:0 "维持旧爵"
 zhx_feudatory.22.d:0 "本次请封未获准晋爵。公议赞同票未能严格超过反对票，或结案时本国的领土、政体与周天下身份已不再符合请封条件。\n\n盟功不受损失，旧爵继续有效。"
 zhx_feudatory.22.a:0 "谨守旧封"
 zhx_feudatory.30.t:0 "晋爵公议案牍"
 zhx_feudatory.30.d:0 "§Y请封国家：[zhx_feudatory_applicant.GetName]§!\n呈请时本届盟功：§Y[zhx_feudatory_applicant.zhx_feudatory_submitted_merit.GetValue]§!\n\n§G赞同：[zhx_tianzi.zhx_council_vote_a_count.GetValue]§!　§R反对：[zhx_tianzi.zhx_council_vote_b_count.GetValue]§!\n弃权：[zhx_tianzi.zhx_council_vote_c_count.GetValue]　未投：[zhx_tianzi.zhx_council_unvoted_country_count.GetValue]\n\n等待天子裁可期间尚未开票。开票后持续365天，诸侯可由国家决议改票；赞同严格多于反对才通过，平票失败。正常换届不会使本案已登记的盟功资格失效。"
 zhx_feudatory_review_petition_title:0 "查看晋爵公议"
 zhx_feudatory_review_petition_desc:0 "查看当前请封国家、登记功绩和公议票数。此项只读，不改票、不推进期限。"
 zhx_feudatory_gui_bo:0 "周制封国 · 伯爵"
 zhx_feudatory_gui_hou:0 "周制封国 · 侯爵"
 zhx_feudatory_gui_gong:0 "周制封国 · 公爵"
 zhx_feudatory_gui_merit:0 "本届盟功：[Root.zhx_merit_term.GetValue]\n晋爵请由天子外交页呈请"
 zhx_feudatory_gui_rules:0 "爵制与请封"
 zhx_feudatory_rules_tt:0 "子、伯、侯为一级政府，公为二级，周天下内部三级留给天子。子升伯由天子直接批准；伯升侯、侯升公须经天下表决。每国每25年一届最多正式提交一次，拒绝、失败、成功均占用机会，不扣盟功。"
 zhx_feudatory.40.t:0 "周制封国与晋爵"
 zhx_feudatory.40.d:0 "诸侯承周室之册，世袭其国，与国内贵族共守礼制。\n\n§Y爵位待遇§!\n子、伯、侯为一级政府，公为二级；三级留给天子。子国保留共同基础待遇；伯国增加年度威望+1、外交关系上限+1，侯、公继承。侯、公再获外交声誉+1。\n\n§Y请封资格：三项同时达标§!\n子升伯：本届盟功50、发展度50、直属城市5。\n伯升侯：100、100、10。侯升公：200、200、20。\n本国本届盟功：§Y[Root.zhx_merit_term.GetValue]§!。\n\n天子外交页选择“请封晋爵”。子升伯批准即授爵，可与其他公议并行，多国请封由天子逐份裁可；伯升侯、侯升公由天子受理后表决365天，赞同严格多于反对即册封。\n\n每25年一届，每国最多提交一次，拒绝、失败、成功均占用机会，不扣盟功。跨届保留已登记功绩，未结案不得重复提交。新入盟从子国起步；复国恢复灭亡前旧爵；主动背盟放弃旧爵，再入盟从子开始。"
 zhx_feudatory_bo_reform:0 "周制封国·伯爵"
 zhx_feudatory_bo_reform_desc:0 "本国承袭伯爵之封。周室册命维系世袭名分，贵族在宗法与礼制中协助国君治理。晋爵须经天子受理与列国公议，不能凭国力自行越级。"
 zhx_feudatory_bo_state:0 "伯国"
 zhx_feudatory_bo_ruler:0 "伯"
 zhx_feudatory_hou_reform:0 "周制封国·侯爵"
 zhx_feudatory_hou_reform_desc:0 "本国承袭侯爵之封。周室册命维系世袭名分，贵族在宗法与礼制中协助国君治理。晋爵须经天子受理与列国公议，不能凭国力自行越级。"
 zhx_feudatory_hou_state:0 "侯国"
 zhx_feudatory_hou_ruler:0 "侯"
 zhx_feudatory_gong_reform:0 "周制封国·公爵"
 zhx_feudatory_gong_reform_desc:0 "本国承袭公爵之封。周室册命维系世袭名分，贵族在宗法与礼制中协助国君治理。晋爵须经天子受理与列国公议，不能凭国力自行越级。"
 zhx_feudatory_gong_state:0 "公国"
 zhx_feudatory_gong_ruler:0 "公"
 zhx_feudatory_vote_support_title:0 "晋爵公议：赞同晋爵"
 zhx_feudatory_vote_support_desc:0 "将本国在当前晋爵事变中的立场改为“赞同晋爵”。旧票被替换，不增加第二张票；一年期满统一结算。"
 zhx_feudatory_vote_oppose_title:0 "晋爵公议：反对晋爵"
 zhx_feudatory_vote_oppose_desc:0 "将本国在当前晋爵事变中的立场改为“反对晋爵”。旧票被替换，不增加第二张票；一年期满统一结算。"
 zhx_feudatory_vote_abstain_title:0 "晋爵公议：暂且弃权"
 zhx_feudatory_vote_abstain_desc:0 "将本国在当前晋爵事变中的立场改为“暂且弃权”。旧票被替换，不增加第二张票；一年期满统一结算。"
 zhx_feudatory_incident_pending:0 "§Y晋爵请封 · 待天子裁可§!"
 zhx_feudatory_incident_open:0 "§Y[zhx_feudatory_applicant.GetName]晋爵公议§!"
 zhx_feudatory_incident_ritual:0 "§O王命不行§!"
 zhx_feudatory_incident_awaiting_consent:0 "请封书已呈递，尚未开始计票。"
 zhx_feudatory_incident_counts:0 "赞同 §G[zhx_tianzi.zhx_council_vote_a_count.GetValue]§!　反对 §R[zhx_tianzi.zhx_council_vote_b_count.GetValue]§!　弃权 §Y[zhx_tianzi.zhx_council_vote_c_count.GetValue]§!"
 zhx_feudatory_zi_reform:0 "周制封国·子爵"
 zhx_feudatory_zi_reform_desc:0 "本国承袭子爵之封。周室颁下册命，国君与贵族共守世袭名分。达到盟功、发展度与城市门槛后，可请天子直接批准升伯，无须列国公议。"
 zhx_feudatory_zi_state:0 "子国"
 zhx_feudatory_zi_ruler:0 "子"
 zhx_feudatory_gui_zi:0 "周制封国 · 子爵"
 zhx_feudatory_grant_bo_tt:0 "直接授予伯爵：年度威望+1、外交关系上限+1，政府等级保持一级。无需列国表决，不扣盟功；本次提交已占用所属届次的申请机会。"
 zhx_feudatory.50.t:0 "子国请封伯爵"
 zhx_feudatory.50.d:0 "[zhx_feudatory_zi_applicant.GetName]呈上请封书，登记本届盟功§Y[zhx_feudatory_zi_applicant.zhx_feudatory_submitted_merit.GetValue]§!，请求由子晋伯。\n\n子升伯由天子直接裁可，批准即颁新册，无须列国表决，也不影响正在进行的天下公议。多国请封由天子逐份裁可。册封时仍须具备50发展度、5个直属城市、君主政体与周天下成员身份，且不得与天子交战。"
 zhx_feudatory.50.a:0 "准予册封伯爵"
 zhx_feudatory.51.t:0 "天子册封伯爵"
 zhx_feudatory.51.d:0 "周室颁下新册，本国由子晋伯。年度威望+1、外交关系上限+1已经生效，政府等级仍为一级。\n\n本次册封无需列国表决，不扣盟功；提交时所属届次的请封机会已经用掉。现任国君与世子继续承守社稷。"
 zhx_feudatory.52.t:0 "晋伯请封未成"
 zhx_feudatory.52.d:0 "本次晋伯请封未能完成：天子维持旧封，或申请国、受理天子已不再符合裁可条件。\n\n本次不授新爵，不扣盟功；提交时所属届次的请封机会仍已用掉。"
