l_english:
 gdd_hak_revolutionary_army_reform:0 "客家革命军政府"
 gdd_hak_revolutionary_army_reform_desc:0 "乡社农民与工商小民拥立革命军，暂以军府统领共和国。现任军人总长终身执政，将领接班。乡社、工商、军府三派争取政策主导权；农民权益通过阶层特权落实。军府占优持续损耗共和传统，低于20时现任者称王。乡社占优、传统至少60且处于和平时，可主动还政。"
 gdd_hak_communal_republic_reform:0 "客家乡社共和国"
 gdd_hak_communal_republic_reform_desc:0 "革命军将政权交还乡社，农民主导、工商参与的共和国每四年举行选举。三派竞争与农民权益继续存在；军府再次占优且共和传统低于20时，仍可能走向王权。"
 gdd_hak_civil_president:0 "乡社总长"
 estate_gdd_hak_peasants:0 "乡社农民"
 estate_gdd_hak_peasants_desc:0 "自耕农、佃农与村社共同构成客家共和国的社会基础。他们要求保障耕作与乡社推举权，并以约法约束征发。"
 gdd_hak_peasants_loyalty_modifier:0 "乡社农民忠诚均衡值"
 gdd_hak_peasants_influence_modifier:0 "乡社农民影响力"
 gdd_hak_peasants_privilege_slots:0 "乡社农民最大特权数"
 gdd_hak_peasant_foundation:0 "农民主导的共和国"
 gdd_hak_freehold_charter:0 "自耕田保障"
 gdd_hak_freehold_charter_desc:0 "承认乡社农民的耕作权，拨出土地份额保障自耕生计；农民土地越多，约法带来的税收与生产收益越高。"
 gdd_hak_freehold_charter_tt:0 "授予乡社农民§Y10%§!土地份额；额外税收与生产收益随其土地占比变化。实际土地转移由阶层系统结算。"
 gdd_hak_village_franchise:0 "乡社推举权"
 gdd_hak_village_franchise_desc:0 "保障各乡推举代表、参与公议的权利。推举权促进共和改革，并在共和国期间每月增加乡社派影响力。正式还政仍须另行选择政府改革。"
 gdd_hak_village_franchise_tt:0 "在两种客家共和国政体下，每月额外增加§Y0.10§!乡社派影响力。此特权本身不会替换执政者或改变任期。"
 gdd_hak_militia_covenant:0 "乡勇约法"
 gdd_hak_militia_covenant_desc:0 "乡勇由各乡按约编练，保留乡社监督。地方动员提供更多兵员并降低军费，但训练一致性较弱。约法减缓战争对军府政治势力的强化。"
 gdd_hak_militia_covenant_tt:0 "战时军府派每月额外增长由§Y0.20§!减为§Y0.10§!。和平时不产生该项增长。"
 gdd_hak_restore_civil_rule_title:0 "还政于民"
 gdd_hak_restore_civil_rule_desc:0 "在乡社支持与共和传统恢复后结束将领接班，转为四年选举的乡社共和国。保留三派、农民阶层与已授特权。"
 gdd_hak_restore_button:0 "还政于民"
 gdd_hak_restore_conditions_tt:0 "需要革命军政府、§Y乡社派占优§!、共和传统至少§Y60§!，并处于§Y和平§!。改行四年选举，保留三派与农民权益；军府占优且传统低于20时仍会称王。"
 gdd_hak_rules_tt:0 "§Y客家共和约法§!\n军政府由将领接班；还政后每四年选举。\n战争每月额外增加0.20军府影响力，乡勇约法将其减为0.10；和平只停止这一额外增长。\n军府占优时共和传统每年额外－2，计入共和国基础恢复后通常净－1。\n只有军府占优且传统低于20时才称王。\n农民权益可在阶层界面授予或撤销；原生派系界面可查看精确影响力。"
 gdd_hak_government.10.t:0 "还政于民"
 gdd_hak_government.10.d:0 "各乡代表与工商小民重申开国约法。军府交还最高权力，将领不再当然接班，今后由定期选举决定共和国的执政者。乡社与军队的关系仍需持续维系，已经争得的权益也需要守护。"
 gdd_hak_government.10.a:0 "共和之权，归于众议。"
 gdd_hak_government.20.t:0 "军府称王"
 gdd_hak_government.20.d:0 "共和传统衰竭，掌握优势的军府已不再接受众议约束。现任执政者宣布称王，结束共和。新王暂时承认乡社农民及已授约法，以调和农民与其他社会势力，建立新的统治秩序。"
 gdd_hak_government.20.a:0 "王权已立，约法暂存。"
 gdd_hak_farmers:0 "乡社派"
 gdd_hak_farmers_influence:0 "乡社派影响力"
 gdd_hak_farmers_FACTION_DESC:0 "以乡社农民为主体，维护自耕生计与公议权利。\n\n生产效率＋10%，共和传统＋0.5／年，农民忠诚均衡＋10%；国家人力上限－10%。"
 support_gdd_hak_farmers_title:0 "支持乡社派"
 support_gdd_hak_farmers_desc:0 "支持该派争取政策主导权。"
 gdd_hak_farmers_label:0 "乡社派"
 gdd_hak_farmers_tt:0 "以乡社农民为主体，维护自耕生计与公议权利。\n生产效率＋10%，共和传统＋0.5／年，农民忠诚均衡＋10%；国家人力上限－10%。"
 gdd_hak_support_farmers_button:0 "支持乡社"
 gdd_hak_support_farmers_tt:0 "消耗§Y10§!行政点，增加§Y10§!乡社派影响力。无额外冷却。"
 gdd_hak_dominant_farmers:0 "当前占优：§Y乡社派§!"
 gdd_hak_burghers:0 "工商派"
 gdd_hak_burghers_influence:0 "工商派影响力"
 gdd_hak_burghers_FACTION_DESC:0 "手工业者与小商人主张市场秩序、工商互助和财政建设。\n\n贸易效率＋10%，建筑花费－10%，市民忠诚均衡＋10%；陆军士气－5%。"
 support_gdd_hak_burghers_title:0 "支持工商派"
 support_gdd_hak_burghers_desc:0 "支持该派争取政策主导权。"
 gdd_hak_burghers_label:0 "工商派"
 gdd_hak_burghers_tt:0 "手工业者与小商人主张市场秩序、工商互助和财政建设。\n贸易效率＋10%，建筑花费－10%，市民忠诚均衡＋10%；陆军士气－5%。"
 gdd_hak_support_burghers_button:0 "支持工商"
 gdd_hak_support_burghers_tt:0 "消耗§Y10§!外交点，增加§Y10§!工商派影响力。无额外冷却。"
 gdd_hak_dominant_burghers:0 "当前占优：§Y工商派§!"
 gdd_hak_army:0 "军府派"
 gdd_hak_army_influence:0 "军府派影响力"
 gdd_hak_army_FACTION_DESC:0 "革命军将领主张集中指挥、优先军务。持续占优会侵蚀共和传统。\n\n陆军士气＋10%，人力恢复＋15%；共和传统－2／年，农民忠诚均衡－10%。"
 support_gdd_hak_army_title:0 "支持军府派"
 support_gdd_hak_army_desc:0 "支持该派争取政策主导权。"
 gdd_hak_army_label:0 "军府派"
 gdd_hak_army_tt:0 "革命军将领主张集中指挥、优先军务。持续占优会侵蚀共和传统。\n陆军士气＋10%，人力恢复＋15%；共和传统－2／年，农民忠诚均衡－10%。"
 gdd_hak_support_army_button:0 "支持军府"
 gdd_hak_support_army_tt:0 "消耗§Y10§!军事点，增加§Y10§!军府派影响力。无额外冷却。"
 gdd_hak_dominant_army:0 "当前占优：§Y军府派§!"

 estate_gdd_hak_peasants_ownership:0 "乡社农民土地"
 gdd_hak_farmers_estate_loyalty:0 "乡社派当权"
 gdd_hak_burghers_estate_loyalty:0 "商团派当权"
 gdd_hak_army_estate_loyalty:0 "军府压制乡社"
 gdd_hak_peasants_influence_modifier:0 "乡社农民影响力"
 gdd_hak_peasants_privilege_slots:0 "乡社农民特权上限"
