province_id,province_name,area,previous_culture,target_culture,history_file
610,,vietnam_area,vietnamese,vietnamese,610 - Thanh Hoa.txt
613,,red_river_delta_area,vietnamese,vietnamese,613 - Dong Kinh.txt
616,,red_river_delta_area,zhuang,gdd_zhuang,616 - Cao Bang.txt
661,大理,dianxi_area,bai,bai,661 - Dali.txt
662,昆明,yunnan_area,bai,gdd_dian,662 - Yunnan.txt
663,文山,diannan_area,bai,gdd_zhuang,663 - Guangnan.txt
664,泗城,youjiang_area,zhuang,gdd_zhuang,664 - Lingyun.txt
665,,west_guangdong_area,cantonese,gdd_guangfu,665 - Shiuhing.txt
666,琼州,hainan_area,chimin,gdd_min,666 - Kiungchow.txt
667,,pearl_river_delta_area,cantonese,gdd_guangfu,667 - Canton.txt
668,,pearl_river_delta_area,cantonese,gdd_guangfu,668 - Macau.txt
669,闽侯,fujian_area,chimin,gdd_min,669 - Fuzhou.txt
670,,south_jiangxi_area,hakka,gdd_hakka,670 - Ganzhou.txt
671,,hunan_area,xiang,gdd_chu,671 - Changsha.txt
672,常德,dongting_area,xiang,gdd_chu,672 - Wulin.txt
673,都云,qiandong_area,miao,miao,673 - Zhenyuan.txt
674,贵竹,qianxi_area,yi,gdd_shu,674 - Guiyang.txt
675,曲靖,diandong_area,yi,gdd_dian,675 - Umung.txt
679,成都,sichuan_area,sichuanese,gdd_shu,679 - Chengdu.txt
680,重庆,chongqing_area,sichuanese,gdd_shu,680 - Chongqing.txt
681,夷陵,hanjiang_xiangyun_area,hubei,gdd_chu,681 - Yichang.txt
682,武昌,wuhan_enan_area,hubei,gdd_chu,682 - Wuchang.txt
683,,jiangxi_area,gan,gdd_gan,683 - Nanchang.txt
684,杭州,zhejiang_area,wu,gdd_wu,684 - Hangzhou.txt
685,扬州,huaiyang_tongtai_area,jianghuai,gdd_jianghuai,685 - Yangzhou.txt
686,安庆,wanjiang_area,jianghuai,gdd_jianghuai,686 - Anqing.txt
687,南阳,runing_nanyang_area,zhongyuan,gdd_zhongyuan,687 - Nanyang.txt
688,开封,wangji_area,zhongyuan,gdd_zhongyuan,688 - Kaifeng.txt
689,汉中,nan_shaanxi_area,xibei,gdd_shu,689 - Hanzhong.txt
690,登州,denglai_area,shandong,gdd_qi,690 - Qingzhou.txt
691,济南,qizhou_area,shandong_culture,gdd_qi,691 - Jinan.txt
692,怀庆,,zhongyuan,gdd_zhongyuan,692 - Huaiqing.txt
693,太原,shanxi_area,zhili,gdd_jin,693 - Taiyuan.txt
694,平阳,hedong_area,zhili,gdd_jin,694 - Pingyang.txt
695,河间,zhong_hebei_area,chihan,gdd_yan,695 - Hejian.txt
696,保定,south_hebei_area,zhili,gdd_yan,696 - Baoding.txt
697,大同,yanmen_area,zhili,gdd_jin,697 - Datong.txt
