l_english:
 gdd_treaty.100.t:0 "停战到期检查"
 gdd_treaty.100.d:0 "检查南海与明朝的初始停战是否已经结束。"

 gdd_treaty.1.t:0 "续订和约"
 gdd_treaty.1.d:0 "1444年11月11日，梁守谦和梁继垣与明廷使者达成停战协议。如今五年之期已到，明军已然整装待发。面对如此庞然大物，继垣希望我们能够主动出击，而国内的贵族们则认为应该先维持现状。"
 gdd_treaty.1.a:0 "派几个使者过去"
 gdd_treaty.1.b:0 "与虎谋皮"

 gdd_treaty.2.t:0 "翅膀硬了？"
 gdd_treaty.2.d:0 "南海不但拒绝派使者续订和约，反而开始加固要塞、整顿军队。梁氏朝廷似乎认为自己已经有能力公开对抗明廷。"
 gdd_treaty.2.a:0 "让他们知道谁才是老大！"

 gdd_treaty.3.t:0 "广东问题"
 gdd_treaty.3.d:0 "明与南海梁氏朝廷的停战期已到。南海使者请求续签之前的协议，并奉上了珍贵的财宝，希望以此保全梁氏在番禺的统治。"
 gdd_treaty.3.a:0 "财宝？我们不要这些垃圾"
 gdd_treaty.3.b:0 "我们还是先别刺激他们了……"

 gdd_treaty.4.t:0 "他们拒收了"
 gdd_treaty.4.d:0 "明廷把我们的使者赶走了，并嚷嚷着让我们归还领土。"
 gdd_treaty.4.a:0 "让他们来吧"

 gdd_active_preparation_against_ming:0 "主动准备和明的战争"
 gdd_preparation_against_ming:0 "准备和明的战争"
 gdd_ming_preparing_southward:0 "准备南征"
 gdd_envoys_to_ming_estate_influence:0 "维持对明和议"

 gdd_cb_punish_guangdong_secession:0 "讨伐岭南割据"
 gdd_cb_punish_guangdong_secession_desc:0 "南海拒绝续订和约并公开整军，明廷可以借此发动惩戒战争。"
 gdd_recover_china_cores_wargoal:0 "收复中华核心"
 gdd_recover_china_cores_wargoal_desc:0 "战争目标是占领对方控制的我方中华核心省份。"
 GDD_RECOVER_CHINA_CORES:0 "位于中华大区的我方核心省份"
 GDD_PUNISH_GUANGDONG_WAR_NAME:0 "$ORDER$$FIRST$讨伐$SECOND$之战"

 gdd_liang_shouqian_prestige_personality:0 "服众"
 desc_gdd_liang_shouqian_prestige_personality:0 "这位君主深得臣民拥戴，其威望与日俱增。"
 gdd_liang_shouqian_prestige_personality_die_desc:0 "一位深得臣民拥戴的君主离开了人世。"
 gdd_liang_shouqian_unrest_personality:0 "安民"
 desc_gdd_liang_shouqian_unrest_personality:0 "这位君主善于安抚地方，使国内秩序更加稳定。"
 gdd_liang_shouqian_unrest_personality_die_desc:0 "安抚地方的能臣已经离开了人世。"
 gdd_liang_shouqian_corruption_personality:0 "肃贪"
 desc_gdd_liang_shouqian_corruption_personality:0 "这位君主致力于整顿吏治，遏制朝廷与地方的贪腐。"
 gdd_liang_shouqian_corruption_personality_die_desc:0 "整顿吏治的君主已经离开了人世。"

 gdd_liang_shouyi_personality:0 "鼓舞军心"
 desc_gdd_liang_shouyi_personality:0 "这位继承人的军事声望能够鼓舞军队奋勇作战。"
 gdd_liang_shouyi_personality_die_desc:0 "军队将怀念这位能够鼓舞士气的统帅。"
