l_english:
 zhx_chu_divided_6:0 "六伯分权"
 zhx_chu_divided_6_desc:0 "封君各守兵粮，荆州的征调与商税难以归一。当前附庸6个及以上，三项减益各-30%。"
 zhx_chu_divided_5:0 "封权未收"
 zhx_chu_divided_5_desc:0 "一处印信已不再牵制荆州，其余封君仍各掌兵粮。当前附庸5个，三项减益各-20%。"
 zhx_chu_divided_4:0 "诸伯持衡"
 zhx_chu_divided_4_desc:0 "公室已能收束部分权柄，余下封国仍足以左右继承。当前附庸4个，三项减益各-10%。"
 zhx_chu_dispute_memory:0 "楚封旧议·二十年"
 zhx_chu_dispute_memory_desc:0 "本国经历了楚公继承时的天下公议。此记忆持续20年；期限内仍为楚国附庸时，独立倾向+50个百分点。独立或改奉他主时不生效，再次臣服楚国只沿用余下期限。"
 zhx_chu_unquiet_feudatories:0 "名分犹存，诸伯未服"
 zhx_chu_unquiet_feudatories_desc:0 "天下保留了楚公的宗主名分，未能替他收回封君的兵心。本国仍受楚统属，承受旧议留下的独立倾向。"
 zhx_chu_incident_name:0 "§O楚封离议§!"
 zhx_chu.1.t:0 "诸伯的印信"
 zhx_chu.1.d:0 "荆州收到了新一年的兵粮簿。长沙报的是湘水沿岸的守军，衡伯先列南境所需，江上的船又须逐处验过封君的关牒。簿末都有臣属的署名，能够交到公室手中的钱粮，却总比预期少。\n\n熊方策记得这些印信怎样授出。父亲熊立辉战死后，归来的兄弟各自握着一支军队，叔父也已有据守之地。承认封邑曾使他们重新坐回朝会，如今同一份册命又被用来解释为何不能缴兵、不能输赋。鄂伯虽已在汉阳败服，同宗诸伯仍等着公室先作让步。\n\n朝臣将可议收回的封土写成一册，也将可以舍弃的远邑列在旁边。方策可以收印归县，也可以承认几国自立；若把所有未决之事留给继位者，下一次争论便未必还在荆州堂上。"
 zhx_chu.1.a:0 "将各国兵粮簿留下。"
