l_english:
 zhx_tianzi_reform:0 "周天子制"
 zhx_tianzi_reform_desc:0 "天子世守宗庙，主持祭祀、册封与诸侯公议，为周天下礼制共主。王室以正统性维系世袭法统，政府等级固定为帝国。\n\n本制可招募限额天子禁卫步兵，开局上限为六团。天子禁卫以杀伤见长，招募费用与补员速度同普通步兵，维护费高两成。开封、洛阳的王畿税收加成仅在天子拥有时生效。"
 zhx_tianzi_state:0 "天子王朝"
 zhx_tianzi_ruler:0 "天子"
 zhx_tianzi_heir:0 "王太子"
 zhx_tianzi_consort:0 "王配"
 zhx_wangshi_training:0 "天子禁卫军制"
 desc_zhx_wangshi_training:0 "天子禁卫为天子直属精锐步兵。加成仅作用于天子禁卫团，普通步兵不受影响。"
 zhx_wangshi_rules_tt:0 "开放限额§Y天子禁卫步兵§!，开局上限§Y6团§!。天子禁卫的火力与冲击伤害各提高§G50%§!，维护费提高§R20%§!；招募费用、人力消耗、补员速度与普通步兵相同。"
 zhx_wangji_tax:0 "王畿赋入"
 desc_zhx_wangji_tax:0 "王室经营王畿，以田赋供养朝廷与天子禁卫。本省地方税收提高§G50%§!，仅在当前天子拥有且采用周天子制时生效，其他国家夺取后不能享有这项额外收益。"
 zhx_tianzi_decrees_deferred_tt:0 "§Y周天子制§!已采用正统性；圣旨的效果与费用留待重设计，当前不能发布旧制圣旨。"
 MUSKETEER_NAME:0 "$HOME$第$NUM$$ORDER$天子禁卫"
 MODIFIER_ALLOWED_MUSKETEER_FRACTION:0 "天子禁卫兵额比例"
 MODIFIER_LOCAL_HAS_MUSKETEER:0 "本省允许招募天子禁卫步兵"
 MUSKETEER_FORCELIMIT:0 "我国可招募最多§Y$LIMIT$§!团天子禁卫。\n"
 MUSKETEER_LIMIT_CULTURE:0 "$PROVINCE$不满足天子禁卫步兵的招募条件。"
 ADD_MUSKETEER_SUB_UNIT_EFFECT:0 "在$WHERE|Y$获得§G天子禁卫§!$UNIT$。"
 MUSKETEER_DESC:0 "天子禁卫是天子直属的精锐步兵，承担保卫王畿与奉命征讨的职责。拥有周天子制时开放招募，开局限额六团。天子禁卫军制提高其杀伤与维护费用；普通步兵不享有这些加成。"
 REGCAT_musketeer:0 "天子禁卫"
 MUSKETEER_REGIMENT:0 "天子禁卫团\n$EFFECT$"
 HAVE_LESS_MUSKETEER_THAN:0 "拥有的天子禁卫少于§Y$VALUE$§!团。\n"
 HAVE_AT_LEAST_MUSKETEER_THAN:0 "拥有至少§Y$VALUE$§!团天子禁卫。\n"
 MODIFIER_AMOUNT_OF_MUSKETEER:0 "天子禁卫兵额"
 musketeers_modifier:0 "天子禁卫在伍"
 ONLY_MUSKETEER_MODIFIER:0 "§Y仅影响天子禁卫团§!"
 MODIFIER_HAS_MUSKETEER:0 "允许招募天子禁卫步兵"
