l_english:
 zhx_opening.101.t:0 "番禺旧帆"
 zhx_opening.101.d:0 "番禺的码头仍能听见四方乡音。海船载着货物与异域消息进入珠江，沿岸村社则以宗族结寨，耕作之余操练兵械。这座港城曾是周室经营岭南最早的支点之一。依旧史所记，周天子平定南越后，在此分封姬姓诸侯；此后君统几经更替，海路却始终为南海带来财赋，也使各代执政者不肯轻易舍弃这片土地。\n\n1368年，梁氏夺取前朝政权。就在同一年，南海为支援北方而加重的征发，在潮州激起了黄冈起义。失去的城邑此后再未尽数收回，南迁客民也在山地中建立了自己的共和国。梁守谦今日继承的，是一个仍有大港、良田和船厂，却已不能号令往日全境的国家。北方连州、英州落在长沙手中，西面的俚寮又从南海割去了数州，番禺与旧边界之间，隔着越来越多别人的旗号。\n\n海上同样没有安稳的退路。潮商凭借宗族和侨居各地的同乡争夺航运，过去驶向番禺的船只，如今也有了别处可以卸货。南海朝廷借重广府民团守卫乡里，民团首先要护住的却是各自宗族；要他们出钱出人远征，梁守谦必须拿出足以令人信服的打算。\n\n儒臣仍将安民与正名写进奏疏，港中的匠人则试着把舶来的火器装上战船。收复失地、重开商路、安顿境内客民，每一件事都在争用同一笔钱粮。又一批年轻人将随海船出洋，他们相信远处还容得下一座新的番禺。留下的人，则等着梁守谦回答，眼前这座番禺将如何保全。"
 zhx_opening.101.a:0 "海上生明月，天涯共此时。"
 zhx_opening.102.t:0 "八桂残疆"
 zhx_opening.102.d:0 "桂林曾凭灵渠把持岭南的咽喉。北方诏令与南方货物经此往来，历代伯主坐收舟运之利，也借周室的册命向八桂诸峒发号施令。桂林的君统换过数姓，这份地位却一度使每个继承者相信，只要守住渠口和山关，岭南便不会脱出掌握。\n\n冯氏得到桂林，起于前朝抗蒙后的绝嗣。周天子将这片封土授予无终国大将冯霸，希望他承接死者的事业。新朝却在征发中耗尽了地方的忍耐：改易诸峒旧制，催征财赋，抽丁北上抗楚，左右江的田地因此荒芜。侬智高与田氏桂娇举兵之后，冯氏失去了大片桂西土地。平桂一战又败于楚国王子熊案牍，岭北随之丧失；如今仍奉桂林号令的地方，已仅余昔日的三分之一。\n\n新一代国君冯云面对的，是败战留下的边防，也是冯氏自己留下的积怨。壮侗、桂柳、粤人与迁来的客民同居境内，有人仍愿为伯室效力，有人只肯受雇出兵，还有人始终记着亲属在征役中死去。若恢复旧疆仍意味着恢复旧日的苛取，朝廷便很难使流失的人心跟着军队回来。\n\n桂林并非一无所有。漓江与柳江仍供养城邑，学宫也因冯氏延揽人才而日渐兴盛。那些来自各地的学者，可以同席讨论治国之道；朝廷能否容得下不同出身的臣民，却还没有一个同样清楚的答案。冯云登临城楼，所见依然是舟楫与青山。山水未改，父祖交付给他的天下，却已缩小了许多。"
 zhx_opening.102.a:0 "江作青罗带，山如碧玉篸。"
 zhx_opening.103.t:0 "八邑共推"
 zhx_opening.103.d:0 "黄冈最初举起反旗时，各乡送来的多是粮食、乡勇和熟识道路的人。1368年，南海借援助北方之名加重征发，饶平乡贤张晓民率先驱逐守军，海阳、潮阳等地相继响应。客家民团也依约参战，海外同乡寄回的财物则支撑着军费。后来在洪阳击退南海远征军的队伍，便是从这些村社与宗族中聚集起来的。\n\n1375年，八邑长老共推张晓民为饶平伯，并取得周天子的册封。朝廷愿以这个新封国牵制南海，长老们则认为，既然兵粮出自各邑，国事便不能由伯主一人独断。张晓民身后的继承使这层分歧彻底显露：其子张嘉御败坏政事，最终被长老放逐。自此，饶平伯须由议会推举，贤者可以终身任事，子孙却不能仅凭血统接掌其位。\n\n如今郑万民主持议事，八邑仍以尊儒重礼自许，红头船也将潮人的货物与乡音带向远海。但立国时的联合政府之约没有兑现，对客民的排斥更使昔日盟友兵戎相见。客家共和国记得这一场背盟，南海也从未忘记失去的城邑。潮州的海上财路越广，守住港口与乡里的责任便越重。\n\n长老们懂得如何制约一个失德的伯主，却未必愿意让每个出力纳粮的人都参与议事。宗族之内，侨批和家书连着远方；议堂之外，仍有人问，当年推翻南海官吏，究竟是为了哪些人的自由。郑万民接过的印信，背后有八邑共同的功业，也有一份尚未还清的承诺。"
 zhx_opening.103.a:0 "有州始名潮。"
 zhx_opening.104.t:0 "山中有国"
 zhx_opening.104.d:0 "1234年，开封陷于蒙古，南逃的人群沿着山路越走越远。有人获准入籍，有人被赶往下一处关口，许多人最终停在赣、闽、粤交界的山区。最早容纳他们的畲民教他们耕种山地，通婚与往来又使不同的乡音渐渐能够互通。后来被称作客家的人，便在这些山坳里筑屋立寨，供奉佛前灯火，也把漂泊的经历讲给子孙。\n\n1368年，黄冈起义传来，民团总教头欧阳罗汉古接受张晓民的邀约，为共同建立新政府而出兵。客家各寨送去青壮与粮食，战后等来的却是潮州长老拒绝共治，甚至驱逐、杀戮八邑境内的客民。欧阳罗汉古遂在橙乡起兵，将其改名大埔，建立共和国，后来改称大华总长。河源、梅州、惠阳及赣闽山中的民团陆续响应，守住各自寨门，也逐渐把彼此的存亡联在一起。\n\n新国得以立足，山川的险阻居功甚多。它们挡住联军，也限制了田亩与道路。粮少的时候，有人主动出海谋生，有人则在混战中被俘，作为苦力卖往海外。朝廷之外，那些仍在山里耕作的家庭最清楚，独立若只能换来无休止的征丁，共和之名也难以使孩子吃饱。\n\n如今周天子下诏，南海、闽、临川、楚与龙虎山都有乡勇准备参与围剿。因军功获推的大华总长廖观音古，既要指挥各路民团，也要保住他们共同立国的理由。客家人曾为一个没有兑现的盟约流血；惠阳的新政府若要他们继续守下去，就必须让他们相信，这一次不会再把国家交给少数人的子孙。"
